titulo,ordem,ano_estreia,ano_encerramento,episodios,classificacao_indicativa,nota_imdb,link,popularidade,id
Leyla e Mecnun,73,2011,2023.0,44,0,9.0,https://www.imdb.com/pt/title/tt1831164/?ref_=chttvtp_i_73,1.974,73
Freaks & Geeks,74,1999,2000.0,18,12,8.8,https://www.imdb.com/pt/title/tt0193676/?ref_=chttvtp_i_74,589.0,74
Dragon Ball Z,75,1989,1996.0,91,12,8.8,https://www.imdb.com/pt/title/tt0121220/?ref_=chttvtp_i_75,1.702,75
Orgulho e Preconceito,76,1995,,56,0,8.8,https://www.imdb.com/pt/title/tt0112130/?ref_=chttvtp_i_76,696.0,76
Gullak,77,2019,,20,0,9.1,https://www.imdb.com/pt/title/tt10530900/?ref_=chttvtp_i_77,1.715,77
Vinland Saga,78,2019,2023.0,48,18,8.8,https://www.imdb.com/pt/title/tt10233448/?ref_=chttvtp_i_78,301.0,78
Twin Peaks,79,1990,1991.0,30,14,8.7,https://www.imdb.com/pt/title/tt0098936/?ref_=chttvtp_i_79,164.0,79
Chappelle's Show,80,2003,2006.0,33,16,8.8,https://www.imdb.com/pt/title/tt0353049/?ref_=chttvtp_i_80,1.785,80
Narcos,81,2015,2017.0,30,16,8.7,https://www.imdb.com/pt/title/tt2707408/?ref_=chttvtp_i_81,308.0,81
"Eu, Cláudio",82,1976,,13,0,8.8,https://www.imdb.com/pt/title/tt0074006/?ref_=chttvtp_i_82,1.878,82
South Park,83,1997,,35,16,8.7,https://www.imdb.com/pt/title/tt0121955/?ref_=chttvtp_i_83,49.0,83
Responde 1988,84,2015,2016.0,20,0,9.0,https://www.imdb.com/pt/title/tt5182866/?ref_=chttvtp_i_84,1.376,84
A Fábrica de Kota,85,2019,2021.0,15,0,9.0,https://www.imdb.com/pt/title/tt9432978/?ref_=chttvtp_i_85,1.866,85
Ted Lasso,86,2020,,44,14,8.8,https://www.imdb.com/pt/title/tt10986410/?ref_=chttvtp_i_86,87.0,86
O Segredo Além do Jardim,87,2014,,10,10,8.7,https://www.imdb.com/pt/title/tt3718778/?ref_=chttvtp_i_87,428.0,87
Black Mirror,88,2011,,33,16,8.7,https://www.imdb.com/pt/title/tt2085059/?ref_=chttvtp_i_88,57.0,88
Meu Companheiro,89,2018,,16,16,9.0,https://www.imdb.com/pt/title/tt7923710/?ref_=chttvtp_i_89,1.577,89
Steins;Gate,90,2011,2015.0,26,12,8.8,https://www.imdb.com/pt/title/tt1910272/?ref_=chttvtp_i_90,799.0,90
"Peaky Blinders: Sangue, Apostas e Navalhas",91,2013,2022.0,36,16,8.7,https://www.imdb.com/pt/title/tt2442560/?ref_=chttvtp_i_91,91.0,91
Berserk,92,1997,1998.0,25,16,8.7,https://www.imdb.com/pt/title/tt0318871/?ref_=chttvtp_i_92,555.0,92
A Sete Palmos,93,2001,2005.0,63,18,8.7,https://www.imdb.com/pt/title/tt0248654/?ref_=chttvtp_i_93,207.0,93
Roma,94,2005,2007.0,22,16,8.7,https://www.imdb.com/pt/title/tt0384766/?ref_=chttvtp_i_94,395.0,94
Oz,95,1997,2003.0,56,18,8.7,https://www.imdb.com/pt/title/tt0118421/?ref_=chttvtp_i_95,473.0,95
X-Men '97,96,2024,,12,14,8.7,https://www.imdb.com/pt/title/tt16026746/?ref_=chttvtp_i_96,728.0,96
Dark,97,2017,2020.0,26,16,8.7,https://www.imdb.com/pt/title/tt5753856/?ref_=chttvtp_i_97,135.0,97
Fleabag,98,2016,2019.0,12,16,8.7,https://www.imdb.com/pt/title/tt5687612/?ref_=chttvtp_i_98,397.0,98
Downton Abbey,99,2010,2015.0,52,12,8.7,https://www.imdb.com/pt/title/tt1606375/?ref_=chttvtp_i_99,59.0,99
The Shield: Acima da Lei,100,2002,2008.0,89,16,8.7,https://www.imdb.com/pt/title/tt0286486/?ref_=chttvtp_i_100,470.0,100
The Grand Tour,101,2016,2024.0,46,16,8.7,https://www.imdb.com/pt/title/tt5712554/?ref_=chttvtp_i_101,1.252,101
Battlestar Galactica,102,2004,2009.0,74,16,8.7,https://www.imdb.com/pt/title/tt0407362/?ref_=chttvtp_i_102,508.0,102
Monster,103,2004,2005.0,75,16,8.7,https://www.imdb.com/pt/title/tt0434706/?ref_=chttvtp_i_103,481.0,103
Peep Show,104,2003,2015.0,54,16,8.7,https://www.imdb.com/pt/title/tt0387764/?ref_=chttvtp_i_104,783.0,104
Naruto Shippuden,105,2007,2017.0,1,14,8.7,https://www.imdb.com/pt/title/tt0988824/?ref_=chttvtp_i_105,326.0,105
Mad Men: Inventando Verdades,106,2007,2015.0,92,16,8.7,https://www.imdb.com/pt/title/tt0804503/?ref_=chttvtp_i_106,161.0,106
Samurai de Olhos Azuis,107,2023,,9,18,8.7,https://www.imdb.com/pt/title/tt13309742/?ref_=chttvtp_i_107,498.0,107
Invencível,108,2021,,26,18,8.7,https://www.imdb.com/pt/title/tt6741278/?ref_=chttvtp_i_108,187.0,108
Jornada nas Estrelas: A Nova Geração,109,1987,1994.0,76,0,8.7,https://www.imdb.com/pt/title/tt0092455/?ref_=chttvtp_i_109,189.0,109
Os Simpsons,110,1989,,56,12,8.6,https://www.imdb.com/pt/title/tt0096697/?ref_=chttvtp_i_110,145.0,110
Ruptura,111,2022,,20,16,8.7,https://www.imdb.com/pt/title/tt11280740/?ref_=chttvtp_i_111,52.0,111
Dr. House,112,2004,2012.0,76,14,8.7,https://www.imdb.com/pt/title/tt0412142/?ref_=chttvtp_i_112,71.0,112
Liga da Justiça sem Limites,113,2004,2006.0,39,0,8.7,https://www.imdb.com/pt/title/tt6025022/?ref_=chttvtp_i_113,1.615,113
The Adventures of Sherlock Holmes,114,1984,1985.0,13,0,8.7,https://www.imdb.com/pt/title/tt0086661/?ref_=chttvtp_i_114,1.574,114
Arrested Development,115,2003,2019.0,84,0,8.6,https://www.imdb.com/pt/title/tt0367279/?ref_=chttvtp_i_115,271.0,115
Mahabharat,116,1988,1990.0,94,14,8.9,https://www.imdb.com/pt/title/tt0158417/?ref_=chttvtp_i_116,2.405,116
One Punch Man,117,2015,,39,12,8.6,https://www.imdb.com/pt/title/tt4508902/?ref_=chttvtp_i_117,457.0,117
Line of Duty,118,2012,2026.0,37,16,8.7,https://www.imdb.com/pt/title/tt2303687/?ref_=chttvtp_i_118,377.0,118
Friday Night Lights,119,2006,2011.0,76,14,8.7,https://www.imdb.com/pt/title/tt0758745/?ref_=chttvtp_i_119,358.0,119
Top Gear,120,2002,2022.0,28,0,8.7,https://www.imdb.com/pt/title/tt1628033/?ref_=chttvtp_i_120,1.257,120
